报告日期,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,
利润总额(万元),92440,59312,68515,92628,84518,56426,63472,40430,16157,29332,25312,
利润总额(万元),9021,1525,-3162,2238,1105,1059,2409,2217,-6475,1109,-12991,
利润总额(万元),49121,21639,55376,42293,48705,33950,20716,12730,2994,-2906,-4514,
利润总额(万元),3961,7199,8450,4952,4241,7469,9578,10432,5348,314,3709,
利润总额(万元),832604,796718,619950,449185,327212,227373,130186,145444,79084,57812,,
利润总额(万元),223413,140053,140623,122643,100381,107261,74498,44984,20145,55430,18275,16013
利润总额(万元),24505,26394,7676,28456,57341,45217,60519,39705,31781,63074,37082,
利润总额(万元),96790,35286,61778,28749,15156,18087,33563,39088,46353,55633,17266,
利润总额(万元),73465,62033,66127,62863,46731,70022,70580,50797,35437,27414,27858,
利润总额(万元),161344,220486,181225,157341,90512,72649,55869,67803,45984,,,
