2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,2005/12/31,2004/12/31,
2993500,2884600,2619400,2004000,1755092,1325749,799802,619054,79261,377178,212188,59790,54308,1
6997500,6687700,6203000,5384900,4475400,3583929,2528091,1729602,1530346,1075830,603695,433923,310281,
2624300,2520500,2400300,2070500,1725148,1252740,800795,482759,400654,382079,241123,,,
6024900,6077400,5979300,5715100,5065200,3717500,2297600,1565600,1048800,921249,523749,,,
7896300,7507900,7343100,6842500,5956400,4712200,3334300,2238400,2675900,2104300,1008400,,,
6392500,6324400,6059800,5426100,4619300,3366400,2400536,1722949,1403729,1091017,504620,354472,280292,207609
9441100,9341300,6235300,4622400,3233800,3002600,2234700,1991900,-245300,1748300,773600,,,2
648200,1178200,778200,495900,228800,327500,225500,265100,18200,36462,,,,
1608500,2431100,1450000,1191400,611300,1039900,1067000,950600,-35500,844300,202600,147200,-158400,
92440,59312,68515,92628,84518,56426,63472,40430,16157,29332,25312,,,3
9021,1525,-3162,2238,1105,1059,2409,2217,-6475,1109,-12991,,,
49121,21639,55376,42293,48705,33950,20716,12730,2994,-2906,-4514,,,
3961,7199,8450,4952,4241,7469,9578,10432,5348,314,3709,,,
832604,796718,619950,449185,327212,227373,130186,145444,79084,57812,,,,
223413,140053,140623,122643,100381,107261,74498,44984,20145,55430,18275,,,
24505,26394,7676,28456,57341,45217,60519,39705,31781,63074,37082,,,
96790,35286,61778,28749,15156,18087,33563,39088,46353,55633,17266,,,
73465,62033,66127,62863,46731,70022,70580,50797,35437,27414,27858,,,
4018000,3935800,3855400,3442100,3159000,2421138,1711057,1049268,792404,838934,439648,372528,,1
2384200,4593100,4040200,2945100,1096800,2051300,4100800,4174500,785900,3479400,1728900,,,2
161344,220486,181225,157341,90512,72649,55869,67803,45984,,,,,3
