,营业总收入(万元),利息收入(万元),手续费及佣金收入(万元),其他业务收入(万元),营业总成本(万元),利息支出(万元),手续费及佣金支出(万元),营业税金及附加(万元),销售费用(万元),资产减值损失(万元),公允价值变动收益(万元),投资收益(万元),汇兑收益(万元),营业利润(万元),营业外收入(万元),营业外支出(万元),利润总额(万元),所得税费用(万元),净利润(万元),归属于母公司所有者的净利润(万元),基本每股收益,稀释每股收益
0,2636100.0,3660300.0,874400.0,3300.0,1812100.0,1811100.0,114600.0,25700.0,658200.0,1128200.0,4200.0,12800.0,700.0,824000.0,-100.0,3700.0,820200.0,186200.0,634000.0,634000.0,0.37000000000000005,0.37000000000000005
1,2771200.0,3504500.0,912500.0,6200.0,1948400.0,1617600.0,97500.0,24600.0,680400.0,1243400.0,-2500.0,61100.0,4500.0,822800.0,1600,1400.0,823000.0,201600.0,621400.0,621400.0,0.31,0.31
2,2574700.0,3554400.0,462000.0,5900.0,2051300.0,1369600.0,93500.0,34500.0,526500.0,1490300.0,-6100.0,-9800.0,31400.0,523400.0,16900.0,2800.0,537500.0,149500.0,388000.0,388000.0,0.22999999999999998,0.22999999999999998
3,2719900.0,3200700.0,858900.0,1300.0,1881000.0,1364000.0,86300.0,26100.0,693400.0,1161500.0,-5000.0,85800.0,28500.0,838900.0,2300.0,600.0,840600.0,197900.0,642700.0,642700.0,0.3700000000000001,0.3700000000000001
4,2723700.0,3120900.0,920400.0,300.0,1909500.0,1341100.0,85700.0,95100.0,769400.0,1045000.0,17400.0,78400.0,13100.0,814200.0,1100.0,2800.0,812500.0,191900.0,620600.0,620600.0,0.29,0.29
5,2753200.0,3235900.0,889600.0,7100.0,1951800.0,1396100.0,79500.0,188800.0,808000.0,955000.0,-1400.0,82400.0,15200.0,801400.0,1800,300.0,802900.0,194300.0,608600.0,608600.0,0.43,0.43
6,2501100.0,3242400.0,704100.0,4500.0,1942100.0,1453100.0,81900.0,162500.0,724600.0,1055000.0,1000.0,84300.0,-200.0,559000.0,1900.0,4900.0,556000.0,143500.0,412500.0,412500.0,0.29000000000000004,0.29000000000000004
7,2457700.0,3336100.0,718300.0,5500.0,1653900.0,1627300.0,68200.0,166600.0,786100.0,701200.0,1200.0,97700.0,-5600.0,803800.0,800.0,1900.0,802700.0,187200.0,615500.0,615500.0,0.43000000000000005,0.43000000000000005
8,2590400.0,3340000.0,899400.0,2900.0,1808400.0,1742600.0,65900.0,180800.0,810400.0,817200.0,14300.0,164000.0,-21700.0,782000.0,1100.0,900.0,782200.0,186600.0,595600.0,595600.0,0.43,0.43
9,2067100.0,3246400.0,596700.0,3200.0,1322400.0,1732000.0,58000.0,157200.0,690100.0,475100.0,-5800.0,46400.0,-29800.0,744700.0,200,1200.0,743700.0,180800.0,562900.0,562900.0,0.41,0.41
10,1875600.0,3163200.0,523300.0,5600.0,1328100.0,1700400.0,65200.0,135900.0,661200.0,531000.0,-3700.0,-13700.0,-33500.0,547500.0,1000.0,3900.0,544600.0,133800.0,410800.0,410800.0,0.3599999999999999,0.3599999999999999
11,1991800.0,3062000.0,553200.0,7000.0,1249200.0,1675600.0,50600.0,144200.0,700100.0,404900.0,-4100.0,113200.0,-13300.0,742600.0,1300.0,1900.0,742000.0,179800.0,562200.0,562200.0,0.4900000000000001,0.4900000000000001
